YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,AGE,LAST_FLAG,PLACE,COUNTRY
2016,9003586,Pioneer A.,Other,5552,,1990,26,Mongolia,Alang,India
2017,8103585,El Hadj,Bulk Carrier,37327,,1981,36,St Kitts & Nevis,Chittagong,Bangladesh
2017,7708194,Cash,Bulk Carrier,16013,,1978,39,St Kitts & Nevis,Chittagong,Bangladesh
2017,8110447,Temouchent,Bulk Carrier,19084,,1982,35,Comoros,Chittagong,Bangladesh
2017,7708182,Tang,Bulk Carrier,16013,,1978,39,St Kitts & Nevis,Chittagong,Bangladesh
2017,8417314,Djebel El Onk II,Other,2863,,1985,32,Sierra Leone,Aliaga,Turkey
2017,8417338,Djebel Refaa,Other,2863,,1986,31,Sierra Leone,Aliaga,Turkey
2017,7514268,Vira,Tanker,8678,,1979,38,St Kitts & Nevis,Chittagong,Bangladesh
2017,8513429,Niamul Mowla,Bulk Carrier,20046,,1986,31,Bangladesh,Chittagong,Bangladesh
2017,9109366,Akij Wave,Bulk Carrier,27011,,1995,22,Bangladesh,Chittagong,Bangladesh
2017,8908478,Banglar Shikha,Other,9927,,1991,26,Bangladesh,Chittagong,Bangladesh
2017,9128283,Symeon,Tanker,81148,,1998,19,Comoros,Chittagong,Bangladesh
2017,7817593,Krankeloon,Dredger,3678,,1980,37,Belgium,Ghent,Belgium
2017,9164184,Berge Atlantic,Bulk Carrier,91962,,1998,19,Comoros,Gadani,Pakistan
2017,8314471,Berge Fjord,Bulk Carrier,159534,,1987,30,Panama,Chittagong,Bangladesh
2017,8511263,Fann,Ro-Ro/Vehicle Carrier,27650,,1985,32,Comoros,Chittagong,Bangladesh
2017,9161508,Berge Yotei,Bulk Carrier,87322,,1997,20,Isle Of Man,Gadani,Pakistan
2017,8814768,Bw Havfrost,Other,34946,,1991,26,Norway,Alang,India
2017,9231743,Venezia,Container Ship,65131,,2001,16,Hong Kong,Chittagong,Bangladesh
2017,8758847,Tay,Other,28592,,1981,36,Tanzania,Aliaga,Turkey
2017,8421169,Ten,Tanker,35845,,1991,26,Djibouti,Alang,India
2017,8617031,Lobat,Tanker,25807,,1993,24,Djibouti,Chittagong,Bangladesh
2017,8754023,Bras X,Other,14411,,1982,35,Tanzania,Aliaga,Turkey
2017,8754097,Bras XVII,Other,12642,,1984,33,Tanzania,Aliaga,Turkey
2017,8754085,Bras XVII,Other,12642,,1984,33,Tanzania,Aliaga,Turkey
2017,7921899,Guapore-I,Tanker,6961,,1982,35,Togo,Alang,India
2017,8516691,Ore Brucutu,Bulk Carrier,124039,,1986,31,Liberia,Alang,India
2017,8907436,Ore Sossego,Bulk Carrier,149064,,1991,26,Cook Islands,Alang,India
2017,8750089,Alaskan Star,Other,11464,,1976,41,Panama,Aliaga,Turkey
2017,7424774,Enterprise,Offshore/Supply Vessel,1313,,1975,42,Bulgaria,Aliaga,Turkey
2017,7361635,Deniz,Other,2952,,1974,43,Comoros,Aliaga,Turkey
2017,9015656,Midjur,Bulk Carrier,13834,,1992,25,Malta,Gadani,Pakistan
2017,8002432,John B.,Bulk Carrier,22881,,1983,34,Sierra Leone,Aliaga,Turkey
2017,6918546,Preserver,Tanker,17764,,1970,47,Canada,Sidney,Canada
2017,7039567,Princess Of Acadia,Ro-Ro/Vehicle Carrier,10051,,1971,46,Canada,Port Colborne,Canada
2017,8409331,Glen,Bulk Carrier,20370,,1985,32,Comoros,Aliaga,Turkey
2017,8600507,Anna,Other,15893,,1986,31,Palau,Gadani,Pakistan
2017,6717069,Kathryn Spirit,Other,9261,,1967,50,Canada,Great Lakes,Canada
2017,7347706,Buchan A,Other,8000,,1973,44,United Kingdom,Lerwick,United Kingdom
2017,9192337,Sunny,Tanker,62685,,1999,18,Comoros,Chittagong,Bangladesh
2017,8914740,Lion,Other,79873,,1991,26,Palau,Alang,India
2017,9191345,Tina,Tanker,58288,,1999,18,Palau,Chittagong,Bangladesh
