VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
Martha Petrol,8806199,Product Tanker,25740,1988,Indonesia,PT. Waruna Nusa Sentana ,Indonesia,PT. Waruna Nusa Sentana ,PT. Waruna Nusa Sentana ,Indonesia,2016-02-18 00:00:00,Chittagong,Bangladesh,2016-03-01 00:00:00
Straits Voyager,8613188,Vehicle Carrier,38659,1987,Malaysia,P.T. Salam Pacific Indonesia Lines (SPIL) ,Indonesia,P.T. Salam Pacific Indonesia Lines (SPIL) ,P.T. Salam Pacific Indonesia Lines (SPIL) ,Indonesia,2017-01-05 00:00:00,Chittagong,Bangladesh,2016-12-16 00:00:00
Ocean Blessing 1,8320145,Bulk Carrier,25768,1986,Comoros,Islamic Republic of Iran Shipping Lines (IRISL)  ,Iran,Islamic Republic of Iran Shipping Lines (IRISL)  ,Prosper Metro Investment Limited  ,Iran,2016-03-25 00:00:00,Alang,India,2016-04-08 00:00:00
Ajya,9119490,General Cargo With Container Capacity,8944,1997,Palau,Ajyal Company for Shipping and Maritime Services Limited  ,Iraq,Ajyal Company for Shipping and Maritime Services Limited  ,Ajyal Company for Shipping and Maritime Services Limited  ,Iraq,2016-04-02 00:00:00,Alang,India,2016-04-09 00:00:00
Cape Carmel ,9119139,Bulk Carrier,92194,1996,Liberia,XT Management Limited  ,Israel,XT Management Limited  ,Ariel Maritime International Company Limited  ,Liberia,2016-02-11 00:00:00,Gadani,Pakistan,2016-03-06 00:00:00
Palladio,8705694,Passenger Ro/Ro,11193,1989,Italy,Siremar Compagnia Delle Isole S.p.A. ,Italy,Siremar Compagnia Delle Isole S.p.A. ,Siremar Compagnia Delle Isole S.p.A. ,Italy,2016-03-10 00:00:00,Aliaga,Turkey,2016-03-11 00:00:00
Riruccia,9153771,Bulk Carrier,38440,1997,Malta,Cafiero Mattioli Group (CA.FI.MA.) ,Italy,Augustea Atlantica S.p.A. ,Augustea Med Limited ,Malta,2016-01-07 00:00:00,Chittagong,Bangladesh,2016-02-01 00:00:00
Gas Ice,9008469,Liquefied Petroleum Gas Carrier,2985,1991,Malta,Finaval S.p.A. di Navigazione ,Italy,Fingas S.r.l. ,Semichlaus Exports Limited ,Malta,2016-11-24 00:00:00,Aliaga,Turkey,2016-12-02 00:00:00
Lucky Sea,8841486,General Cargo,2241,1986,Panama,Novamar Limited S.N.C. ,Italy,Novamar Limited S.N.C. ,Nectargold Limited ,Cyprus,2016-07-26 00:00:00,Aliaga,Turkey,2016-08-03 00:00:00
Zena A.,9087221,Bulk Carrier,25503,1994,Panama,Vittorio Bogazzi & Figli S.p.A.,Italy,Vittorio Bogazzi & Figli S.p.A.,Calmwaters-Transportes Maritimos Limitada ,Switzerland,2015-12-17 00:00:00,Alang,India,2016-01-13 00:00:00
Dubai Castle,9102485,General Cargo With Container Capacity,30928,1997,Panama,Vittorio Bogazzi & Figli S.p.A. ,Italy,Navalmar (UK) Limited ,Navalmar (UK) Limited ,United Kingdom,2016-10-16 00:00:00,Gadani,Pakistan,2016-10-26 00:00:00
Ema,7420352,Pipe Layer,33812,1976,St. Kitts-Nevis,SAIPEM (Societa Azionaria Italiana Perforazioni e Montaggi) S.p.A. ,Italy,SAIPEM (Portugal) Comercio Maritimo Sociedade Unipessoal Limitada ,SAIPEM (Portugal) Comercio Maritimo Sociedade Unipessoal Limitada ,Portugal,2016-01-02 00:00:00,Alang,India,2016-01-09 00:00:00
Toro,8757790,Semi-Sub Pontoon,40282,1975,St. Kitts-Nevis,SAIPEM (Societa Azionaria Italiana Perforazioni e Montaggi) S.p.A.  ,Italy,SAIPEM (Portugal) Comercio Maritimo Sociedade Unipessoal Limitada  ,SAIPEM (Portugal) Comercio Maritimo Sociedade Unipessoal Limitada  ,Madeira,2016-01-06 00:00:00,Alang,India,2016-06-26 00:00:00
Atlantic Compass,8214176,Roll On Roll Off With Container Capacity,57255,1984,Sweden,Grimaldi Group S.p.A.  ,Italy,Atlantic Container Line (ACL)  ,Atlantic Container Line (ACL)  ,United States of America,2016-06-10 00:00:00,Alang,India,2016-06-21 00:00:00
Atlantic Concert,8214164,Roll On Roll Off With Container Capacity,57255,1984,Sweden,Grimaldi Group S.p.A.  ,Italy,Atlantic Container Line (ACL)  ,Atlantic Container Line (ACL)  ,United States of America,2016-08-05 00:00:00,Alang,India,2016-09-17 00:00:00
Rento,9264312,Passenger Ro/Ro,25984,2003,Togo,Grimaldi Group S.p.A. ,Italy,Grimaldi Group S.p.A. ,Grimaldi Euromed S.p.A. ,Italy,2016-03-06 00:00:00,Aliaga,Turkey,2016-03-23 00:00:00
Wilma,9147679,General Cargo With Container Capacity,8388,1997,Antigua & Barbuda,Kawasaki Kisen Kaisha Limited ('K' Line) ,Japan,SAL Heavy Lift GmbH ,SAL Heavy Lift GmbH ,Germany,2016-05-23 00:00:00,Zhoushan,China,2016-03-10 00:00:00
Ella,9146730,Bulk Carrier,85437,1996,Comoros,Kumiai Senpaku Company Limited  ,Japan,Kumiai Senpaku Company Limited  ,Southern Pacific Holding Corporation  ,Panama,2016-06-23 00:00:00,Chittagong,Bangladesh,2016-09-05 00:00:00
Molly,9245017,Fully Cellular Containership,66332,2001,Comoros,Mitsui O.S.K. Lines Limited (MOL)  ,Japan,Seno Kisen K.K.  ,Erica Navigation S.A.  ,Panama,2016-03-09 00:00:00,Chittagong,Bangladesh,2016-04-07 00:00:00
Promise,9236482,Fully Cellular Containership,71902,2002,Comoros,Mitsui O.S.K. Lines Limited (MOL)  ,Japan,Mitsui O.S.K. Lines Limited (MOL)  ,IS Container Private Limited  ,Singapore,2016-05-27 00:00:00,Chittagong,Bangladesh,2016-06-29 00:00:00
Precision,9236470,Fully Cellular Containership,71902,2002,Comoros,Shoei Kisen Kaisha Limited  ,Japan,Shoei Kisen Kaisha Limited  ,Cypress Maritime (Panama) S.A.  ,Panama,2016-06-02 00:00:00,Chittagong,Bangladesh,2016-06-30 00:00:00
