VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
MARU A,8408662,Bulk Carrier,5586,2445,1985,Togo,,Vimaru Ace,All Seas Gold Services Company Incorporated,United Arab Emirates,SK Shipping Ltd,SK Shipping Ltd,Belize,Alang,India,2019-07-01 00:00:00,,
ASD JAGUAR,7423861,Pipe Carrier,1512,,1975,Tanzania (Zanzibar),,,All Seas Gold Services Company Incorporated,United Arab Emirates,All Seas Gold Services Co Inc,All Seas Gold Services Co Inc,Panama,Alang,India,2019-10-01 00:00:00,,
ADVENTURER K,8912259,Bulk Carrier,16472,5861,1989,Belize,,,Aram Marine Trade Limited,United Arab Emirates,Aram Marine Trade Ltd,HBM Maritime Co SA,Panama,Gadani,Pakistan,2019-12-01 00:00:00,,
TABARK,7358652,General Cargo Ship,1861,1060,1974,Tanzania (Zanzibar),,,B.A. Gzal,United Arab Emirates,Ayadaldeen/Gzal,Ayadaldeen/Gzal,United Arab Emirates,Alang,India,2019-05-01 00:00:00,,
SEA ANGEL,8006000,Anchor Handling Tug Supply,660,920,1981,Belize,,,Bahman and Brothers FZ-LLC,United Arab Emirates,Sustainable Line General,Sustainable Line General,United Arab Emirates,Alang,India,2019-02-01 00:00:00,,
FATEH 1,8002729,Vegetable Oil Tanker,1756,1129,1980,Tanzania (Zanzibar),,,Blue Sea Oasis General Trading,United Arab Emirates,Blue Sea Oasis General Trading,FSK Shipping Inc,St Kitts & Nevis,Alang,India,2019-07-01 00:00:00,,
EASTERN VIEW,9075682,Bulk Carrier,38779,10642,1995,Togo,Panama,,Carina Shipping DMCC,United Arab Emirates,Carina Shipping DMCC,Triton Marine Services Inc,Marshall Islands,Chittagong,Bangladesh,2019-07-01 00:00:00,,
TOPAZ,8323551,Chemical/Products Tanker,4509,2741,1984,Gabon,Panama,,Delta Al Muhitat Shipping LLC ,United Arab Emirates,Choice Shipping Co Ltd,Choice Shipping Co Ltd,Seychelles,Gadani,Pakistan,2019-12-01 00:00:00,,
HURRICANE III,9206360,Tug/Supply Ship (O.R.S.V.),874,910,2000,St Kitts & Nevis,,,DTA Ship Trading LLC,United Arab Emirates,Hermes Maritime Services Pvt,Morrito Maritime Inc,St Kitts & Nevis,Alang,India,2019-01-01 00:00:00,,
JOHAN PAUL,9300154,Container Ship (Fully Cellular),21971,10794,2005,Comoros,Marshall Islands,,Dubai Navigation Corp,United Arab Emirates,Hermes Maritime Services Pvt,John Maritime Ltd-MAI,Marshall Islands,Alang,India,2019-06-01 00:00:00,,
PAUL,9300166,Container Ship (Fully Cellular),21971,10794,2006,Comoros,Marshall Islands,,Dubai Navigation Corp,United Arab Emirates,MSC Mediterranean Shipping Co,Jacob Maritime Ltd-MAI,Marshall Islands,Chittagong,Bangladesh,2019-10-01 00:00:00,,
GOLDIE,8917455,Tanker,29506,9920,1992,Palau,Panama,Golden Star,Emirates Shipping Co LLC,United Arab Emirates,Emirates Shipping Co LLC,ES Sealine Shipping Inc,British Virgin Islands,Chittagong,Bangladesh,2019-02-01 00:00:00,,
CRYSTAL SAMBU,8717908,Chemical/Products Tanker,2501,1728,1989,Comoros,,,Etihad Engineering & Marine Services FZC,United Arab Emirates,Etihad Engineering & Marine,Etihad Engineering & Marine,United Arab Emirates,Gadani,Pakistan,2019-08-01 00:00:00,,
