VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
De Zhou Hai,9056911,Bulk Carrier,38712,1995,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,Tianjin Tianhui Shipping Enterprises Company Limited  ,China,Zhangjiagang,China,2015-05-09 00:00:00
Ming Hai,9109914,Bulk Carrier,26063,1996,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO (Cayman) Fortune Holding Company Limited  ,Minghai Shipping Incorporated  ,Panama,Jiangyin,China,2015-04-15 00:00:00
Qin Hai,9110274,Bulk Carrier,26063,1995,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,Qinhai Shipping Incorporated  ,Hong Kong,Jiangyin,China,2015-06-05 00:00:00
Tian Fu Hai,9158800,Bulk Carrier,79480,1998,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Xinhui,China,2015-04-03 00:00:00
Gao He,8818740,Fully Cellular Containership,37143,1990,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shanghai Panasia Shipping Company Limited  ,Shanghai Panasia Shipping Company Limited  ,China,Zhoushan,China,2014-09-25 00:00:00
Tai Hua Hai,8919556,Bulk Carrier,27598,1991,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Unknown,China,2015-03-04 00:00:00
Yi Chang Hai,9158393,Bulk Carrier,18074,1997,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO (Cayman) Fortune Holding Company Limited  ,Yichanghai Shipping Incorporated  ,Hong Kong,Jiangyin,China,2015-03-28 00:00:00
Ji Li Hu,9214654,Product Tanker,38381,2000,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Dalian Ocean Shipping Company (COSCO Dalian)  ,Dalian Ocean Shipping Company (COSCO Dalian)  ,China,Unknown,China,2015-03-31 00:00:00
Qinfa 8,8916334,Bulk Carrier,40025,1991,China ,China Qinfa Group Limited ,China,Hong Kong Qinfa Shipping Limited ,Zhuhai Qinfa Shipping Company Limited ,China,Unknown,China,2015-11-03 00:00:00
Da Bie Shan,8508187,Bulk Carrier,26835,1990,China ,China Shipping (Group) Company,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited  ,China,Zhoushan,China,2015-05-06 00:00:00
Lin Yuan,9108908,Fully Cellular Containership,7065,1996,China ,China Shipping (Group) Company ,China,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,China,Zhangjiagang,China,2015-08-26 00:00:00
Bai Hua Shan,8110289,Bulk Carrier,34572,1984,China ,China Shipping (Group) Company  ,China,China Shipping Haisheng Company Limited  ,China Shipping Haisheng Company Limited  ,China,Xinhui,China,2015-01-21 00:00:00
Yin Hua,8307375,Bulk Carrier,24942,1985,China ,China Shipping (Group) Company  ,China,Shanghai Time Shipping Company Limited  ,Shanghai Time Shipping Company Limited  ,China,Ningde ,China,2014-11-16 00:00:00
Hai Neng,8307636,Bulk Carrier With Container Capacity,19510,1985,China ,China Shipping (Group) Company  ,China,Shanghai Time Shipping Company Limited  ,Shanghai Time Shipping Company Limited  ,China,Taizhou ,China,2014-06-30 00:00:00
Zhen Fen 10,8407682,Bulk Carrier,12827,1985,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Shanghai,China,2014-04-26 00:00:00
Guang Hua,8500159,Bulk Carrier,36584,1985,China ,China Shipping (Group) Company  ,China,China Shipping (Group) Company  ,Zhuhai New Century Shipping Company Limited  ,China,Jiangyin,China,2014-10-24 00:00:00
Bei Ji Xing,8500161,Bulk Carrier,20550,1986,China ,China Shipping (Group) Company  ,China,Shanghai Time Shipping Company Limited  ,Shanghai Time Shipping Company Limited  ,China,Jiangyin,China,2014-06-20 00:00:00
Wan Shou Shan,8601197,Bulk Carrier,26835,1989,China ,China Shipping (Group) Company  ,China,China Shipping Bulk Carrier Company Limited  ,China Shipping Bulk Carrier Company Limited  ,China,Jiangyin,China,2015-03-23 00:00:00
Mo Xing Ling,8601317,Bulk Carrier,12863,1986,China ,China Shipping (Group) Company  ,China,China Shipping International Intermodal Company Limited  ,China Shipping International Intermodal Company Limited  ,China,Wenzhou ,China,2014-04-13 00:00:00
Ning An 2,8879342,Bulk Carrier,26392,1993,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Zhoushan,China,2014-09-26 00:00:00
Ning An 10,8889244,Bulk Carrier,26392,1996,China ,China Shipping (Group) Company  ,China,Guangzhou Maritime Transport (Group) Company  ,Guangzhou Maritime Transport (Group) Company  ,China,Jiangyin,China,2015-01-20 00:00:00
Ning An 5,9021514,Bulk Carrier,26448,1994,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Zhangjiagang ,China,2015-01-24 00:00:00
Ning An 6,9021526,Bulk Carrier,26448,1993,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Zhangjiagang ,China,2015-02-02 00:00:00
Peach Mountain,9110494,Bulk Carrier,27235,1996,Hong Kong ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,Li Chuan Shipping S.A.,Hong Kong,Jiangyin,China,2015-01-24 00:00:00
An Ping 5,8301917,Bulk Carrier,24389,1986,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Jiangyin,China,2015-03-24 00:00:00
An Ping 6,8301929,Bulk Carrier,24389,1987,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited  ,China,Zhoushan,China,2015-03-24 00:00:00
Hua Rong Shan,8508175,Bulk Carrier,26835,1989,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Jiangyin,China,2015-03-24 00:00:00
Dong Ping Shan,8601252,Bulk Carrier,26835,1990,China ,China Shipping (Group) Company  ,China,Guangzhou Maritime Transport (Group) Company  ,Guangzhou Maritime Transport (Group) Company  ,China,Jiangyin,China,2015-04-20 00:00:00
Da Ming Shan,8831352,Bulk Carrier,26835,1989,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Xinhui,China,2015-04-17 00:00:00
Xin Yong An 1,9109706,Bulk Carrier,26737,1995,China ,China Shipping (Group) Company  ,China,China Shipping (Hong Kong) Marine Company Limited  ,Purple Gold Mountain Shipping S.A.  ,Panama,,China,2015-04-21 00:00:00
Fei Feng Shan,9110509,Bulk Carrier,27235,1997,China ,China Shipping (Group) Company  ,China,China Shipping Bulk Carrier Company Limited  ,China Shipping Bulk Carrier Company Limited  ,China,Zhangjiagang,China,2015-04-01 00:00:00
Zhen Fen 15,9017496,Fully Cellular Containership,13253,1992,China ,China Shipping (Group) Company  ,China,China Shipping Container Lines Company Limited  ,China Shipping Container Lines Company Limited  ,China,Jiangyin,China,2015-05-25 00:00:00
Zhen Fen 22,9073969,Fully Cellular Containership,13396,1995,China ,China Shipping (Group) Company  ,China,China Shipping Container Lines Company Limited  ,China Shipping Container Lines Company Limited  ,China,Jiangmen,China,2015-05-27 00:00:00
An Ping 3,8506139,Bulk Carrier,24489,1987,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Jiangyin,China,2015-02-06 00:00:00
Ning An 9,8889232,Bulk Carrier,26392,1995,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Unknown,China,2015-01-12 00:00:00
Pu Tuo Ling,8905842,Bulk Carrier,12827,1990,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited  ,China,Zhangjiagang,China,2015-02-10 00:00:00
Ning An 3,9019808,Bulk Carrier,26448,1993,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Zhoushan,China,2015-01-14 00:00:00
Ning An 4,9019810,Bulk Carrier,26448,1993,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Zhoushan,China,2015-01-14 00:00:00
Ning An 8,9044994,Bulk Carrier,26448,1994,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited  ,China,Jiangyin,China,2015-02-10 00:00:00
Ning An 16,9072422,Bulk Carrier,26520,1994,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Jiangyin,China,2015-04-09 00:00:00
Wu Ling Shan,9108910,Bulk Carrier,27117,1996,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,Li Chuan Shipping S.A.,Hong Kong,Xinhui,China,2015-05-07 00:00:00
Zhen Fen 20,9118202,Bulk Carrier,18996,1995,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited ,China,Jiangmen,China,2015-04-16 00:00:00
Ning An 12,9141493,Bulk Carrier,26392,1995,China ,China Shipping (Group) Company  ,China,China Shipping Development Company Limited  ,China Shipping Development Company Limited Tramp Company  ,China,Jiangyin,China,2015-02-15 00:00:00
Xin Hu Zhou,9008615,Fully Cellular Containership,34231,1992,China ,China Shipping (Group) Company  ,China,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,China,Jiangyin,China,2015-07-04 00:00:00
Xin Bei Hai,8905933,Fully Cellular Containership,36584,1990,China ,China Shipping (Group) Company  ,China,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,China,Jiangyin,China,2015-07-11 00:00:00
Jian She 52,9085962,Product Tanker,7894,1995,China ,China Shipping (Group) Company  ,China,China Shipping Tanker Company Limited ,China Shipping Tanker Company Limited ,China,Ningde ,China,2015-07-28 00:00:00
Prosper,9040508,Bulk Carrier,90820,1993,Comoros ,Chinese breakers,China,Chinese breakers,Chinese breakers,China,Chittagong,Bangladesh,2015-06-08 00:00:00
Lu Xun,8513716,General Cargo With Container Capacity,13843,1988,China ,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK),China,Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK),Chinese-Polish Joint Stock Shipping Company (CHIPOLBROK),China,Alang,India,2015-06-04 00:00:00
Kang Nam 5,8626006,General Cargo,1135,1984,North Korea ,Cho Sung Shipping Company Limited ,Belize,Cho Sung Shipping Company Limited ,Cho Sung Shipping Company Limited ,Belize,Zhangjiagang,China,2015-12-31 00:00:00
Yang Pride,7926899,Waste Ship,3536,1980,Tuvalu ,Cho Yang Company Limited,South Korea,Cho Yang Company Limited,Cho Yang Company Limited,South Korea,Chittagong,Bangladesh,2015-02-04 00:00:00
Samar,9182643,Fully Cellular Containership,19131,2000,Togo,Christian F. Ahrenkiel GmbH & Company KG ,Germany,Ahrenkiel Steamship GmbH & Company KG ,ms Samaria Schiffahrtsges. mbH & Company KG ,Germany,Alang,India,2015-03-20 00:00:00
Birch 3,9150731,General Cargo,13781,1999,Hong Kong ,Clearwater Marine Investments,United Kingdom,Woodstreet Incorporated  ,Birch Shipping Limited,Hong Kong,Mumbai,India,2015-05-15 00:00:00
Tarik 3,8413473,Bulk carrier,19602,1986,Liberia,CMR Denizcilik ve Ticaret A.S ,Turkey,Sedna Denizcilik Taahhut Insaat ve Sanayi Limited Sirketi ,Garanti Finansal Kiralama A.S. ,Turkey,Alang,India,2015-04-02 00:00:00
Coastal Cheetah,8210962,Tug/Supply,338,1982,India ,Coastal Marine Construction & Engineering Limited,India,Coastal Marine Construction & Engineering Limited,Coastal Marine Construction & Engineering Limited,India,Mumbai,India,2015-04-30 00:00:00
Boughaz,7349601,Passenger Ro/Ro,8257,1974,Morocco ,Compagnie Maritime Maroco-Norvegienne (COMARIT),Morocco,Compagnie Maritime Maroco-Norvegienne (COMARIT),Compagnie Maritime Maroco-Norvegienne (COMARIT),Morocco,Aliaga,Turkey,2015-08-21 00:00:00
Banasa,7358755,Passenger Ro/Ro,11907,1975,Morocco ,Compagnie Maritime Maroco-Norvegienne (COMARIT),Morocco,Compagnie Maritime Maroco-Norvegienne (COMARIT),Compagnie Maritime Maroco-Norvegienne (COMARIT),Morocco,Aliaga,Turkey,2015-08-20 00:00:00
Al Mansour,7360629,Passenger Ro/Ro,11717,1975,Morocco ,Compagnie Maritime Maroco-Norvegienne (COMARIT),Morocco,Compagnie Marocaine de Navigation Ferry (COMANAV),Compagnie Marocaine de Navigation Ferry (COMANAV),Morocco,Aliaga,Turkey,2015-08-02 00:00:00
Berkane,7401215,Passenger Ro/Ro,20182,1976,Morocco ,Compagnie Maritime Maroco-Norvegienne (COMARIT)  ,Morocco,Compagnie Maritime Maroco-Norvegienne (COMARIT)  ,Compagnie Maritime Maroco-Norvegienne (COMARIT)  ,Morocco,Aliaga,Turkey,2015-02-19 00:00:00
Aquagem,9120956,Bulk Carrier,85315,1997,Liberia ,Coronis Shipping Company Limited,Greece,Carras (Hellas) Limited  ,Hygeia Shipping & Trading Company Limited,Liberia,Gadani,Pakistan,2015-05-16 00:00:00
Grace,9120982,Bulk Carrier,85315,1997,St. Kitts-Nevis,Coronis Shipping Company Limited ,Greece,Carras (Hellas) Limited ,Heywood Maritime S.A. ,Panama,Chittagong,Bangladesh,2015-10-17 00:00:00
Aquadonna,9075668,Bulk Carrier,81272,1995,Liberia ,Coronis Shipping Company Limited  ,Greece,Carras (Hellas) Limited  ,Brizo Shipping & Trading Company Limited  ,Liberia,Gadani,Pakistan,2015-02-04 00:00:00
Pacific,7027411,Passenger Cruise,23149,1971,St Kitts & Nevis,Corporacion de Cruceros Nacionales S.A. de C.V. ,Mexico,Corporacion de Cruceros Nacionales S.A. de C.V. ,Corporacion de Cruceros Nacionales S.A. de C.V. ,Mexico,Alang,India,2015-02-19 00:00:00
MSC Challenger,8417948,Fully Cellular Containership,39678,1986,Hong Kong ,Costamare Incorporated ,Greece,Costamare Shipping Company S.A. ,Lang Shipping Company ,Hong Kong,Chittagong,Bangladesh,2015-11-27 00:00:00
CSL Pacific,7420716,Bulk Carrier,21047,1977,Bahamas ,CSL Group Incorporated,Canada,CSL Australia Proprietary Limited  ,CSL Pacific Shipping Incorporated,Barbados,Xinhui,China,2015-04-08 00:00:00
Atlantic Superior,7927805,Bulk Carrier,23955,1982,Bahamas ,CSL Group Incorporated,China,CSL Group Incorporated,The Canada Steamship Lines Incorporated,Canada,Xinhui,China,2015-03-08 00:00:00
Birchglen,8119273,Bulk Carrier,22388,1983,Canada,CSL Group Incorporated ,Canada,CSL Group Incorporated ,The Canada Steamship Lines Incorporated ,Canada,Aliaga,Turkey,2015-10-14 00:00:00
Mapleglen,7910163,Bulk Carrier,22734,1981,Canada,CSL Group Incorporated ,Canada,CSL Group Incorporated ,The Canada Steamship Lines Incorporated ,Canada,Aliaga,Turkey,2015-11-09 00:00:00
Princess Natalie,8803446,Bulk carrier,36520,1989,Cyprus,Cyprus Maritime Company Limited ,Greece,Cyprus Maritime Company Limited ,Calepa Marine Company Limited ,Cyprus,Gadani,Pakistan,2015-02-04 00:00:00
Panamax Blessing,9085869,Bulk Carrier,38606,1996,Cyprus ,Cyprus Sea Lines Company Limited ,Greece,Cyprus Sea Lines Company Limited ,Silver Ocean Marine Limited ,Cyprus,Alang,India,2015-12-29 00:00:00
Sunrise,8508254,General Cargo With Container Capacity,4541,1985,Tuvalu ,D & S Company Limited,Taiwan,D & S Company Limited,Deryoung Maritime Company S.A.  ,Taiwan,Chittagong,Bangladesh,2015-03-05 00:00:00
Myoken,9146936,Bulk Carrier,43490,1997,Panama ,Daiichi Chuo Kisen Kaisha,Japan,Daiichi Chuo Kisen Kaisha,Sylvie Shipping Corporation  ,Panama,Alang,India,2015-06-02 00:00:00
Soyu,9100592,Bulk Carrier,48458,1995,Liberia ,Daiichi Chuo Kisen Kaisha  ,Japan,Daiichi Chuo Kisen Kaisha  ,Mars Shipping Company S.A.,Panama,Chittagong,Bangladesh,2015-04-06 00:00:00
Taio Rainbow,8616374,Wood-Chip Carrier,35895,1987,Liberia,Daio Kaiun Company Limited ,Japan,Misuga Kaiun Company Limited ,Misuga S.A. ,Marshall Islands,Chittagong,Bangladesh,2015-12-13 00:00:00
Merry Trans,8317289,General Cargo With Container Capacity,27226,1985,Panama ,Dalian Haida International Fleet Management Company Limited,China,Dalian Haida International Fleet Management Company Limited,Dalian Haida International Fleet Management Company Limited,China,Alang,India,2015-05-23 00:00:00
Myron N.,8811364,Bulk carrier,38337,1990,Cyprus,Dalnave Navigation Incorporated ,Greece,Dalnave Navigation Incorporated ,Naldvin Shipping Company Limited ,Cyprus,Alang,India,2015-02-27 00:00:00
La Med,8313221,Bulk Carrier,18977,1985,St. Kitts-Nevis ,Dancore NV,Belgium,Dancore NV,Pola Med Limited,Malta,Alang,India,2015-04-22 00:00:00
Duke,8715493,Bulk Carrier,37086,1989,Comoros ,Dawan Shipping Company Limited ,Hong Kong,Dawan Shipping Company Limited ,Alpha Duke Group Limited ,Palau,Chittagong,Bangladesh,2015-11-09 00:00:00
Star Vega,8307416,Bulk Carrier,24943,1985,Panama ,Dekoil Incorporated,Greece,Dekoil Incorporated,GM Star Vega Compania Naviera S.A.  ,Panama,Alang,India,2015-05-08 00:00:00
Captain Nihat,7725726,Bulk Carrier,11632,1980,Georgia ,Derpina Denizcilik ve Ticaret Limited Sirketi,Turkey,Derpina Denizcilik ve Ticaret Limited Sirketi,Tanura Shipping & Trading Incorporated,St. Kitts-Nevis,Alang,India,2015-05-08 00:00:00
Lysblink Seaways,9197313,General Cargo With Container Capacity,7409,2000,United Kingdom,DFDS A/S,Denmark,DFDS Logistics AS  ,DFDS Logistics Rederi AS,Norway,Rosneath,United Kingdom,2015-04-19 00:00:00
He Yuan,8316534,Bulk Carrier,27893,1985,Panama ,Dia Yuan International Shipping Company Limited,Hong Kong,Dia Yuan International Shipping Company Limited,Hai Yuan Shipping Limited,Hong Kong,Chittagong,Bangladesh,2015-04-09 00:00:00
Ocean Epoch,8750871,Drill Platform,10620,1977,Marshall Islands ,Diamond Offshore Drilling Incorporated,United States of America,Diamond Offshore Drilling Incorporated,Diamond Offshore General Company,United States of America,Alang,India,2015-05-13 00:00:00
Ocean Yatzy,8755742,Drill Platform,14230,1989,Marshall Islands ,Diamond Offshore Drilling Incorporated,United States of America,Diamond Offshore Services Company  ,Diamond Offshore Limited,Marshall Islands,Aliaga,Turkey,2015-05-17 00:00:00
Ocean Concord,8755807,Drill Platform,9129,1975,Marshall Islands ,Diamond Offshore Drilling Incorporated,United States of America,Diamond Offshore Services Company  ,Diamond Offshore Limited,Marshall Islands,Aliaga,Turkey,2015-03-28 00:00:00
Ocean Winner,8755833,Drill Platform,11862,1976,Marshall Islands ,Diamond Offshore Drilling Incorporated  ,United States of America,Diamond Offshore Services Company  ,Diamond Offshore Limited,Marshall Islands,Aliaga,Turkey,2015-07-30 00:00:00
Garnet,9077460,Fully Cellular Containership,53519,1995,Marshall Islands,Diana Shipping Incorporated ,Greece,Diana Shipping Incorporated ,Lemongina Incorporated ,Marshall Islands,Chittagong,Bangladesh,2015-10-05 00:00:00
Steel Titan,8905828,Bulk Carrier,36448,1991,Liberia ,Dianik Bross Shipping Corporation S.A.,Greece,Dianik Bross Shipping Corporation S.A.,Steelships Five LLC  ,LIberia,Chittagong,Bangladesh,2015-03-09 00:00:00
Tropical Mist,8408868,Reefer,9749,1986,Bahamas,Dole Food Company ,United States of America,Dole Food Company ,Ventura Trading Limited ,Costa Rica,Alang,India,2015-02-28 00:00:00
Lotus,9081849,Bulk Carrier,38859,1995,St. Kitts-Nevis,Doo Nam Shipping Company Limited ,South Korea,Doo Nam Shipping Company Limited ,Lotus Sun Shipping Limited S.A. ,Panama,Chittagong,Bangladesh,2015-10-18 00:00:00
Skaubryn,8107103,Vehicle Carrier,43312,1982,Panama ,Doriko Limited,South Korea,Doriko Limited,Kingston Shipping SA  ,Panama,Chittagong,Bangladesh,2015-03-24 00:00:00
Golden Trader,9041459,Bulk carrier,28420,1994,Liberia,Dragnis Group ,Greece,Goldenport Shipmanagement Limited ,Melia Shipping Limited ,Malta,Alang,India,2014-03-30 00:00:00
MSC Ada,9031064,Fully Cellular Containership,19573,1993,Liberia,Dragnis Group ,Greece,Goldenport Shipmanagement Limited ,Ada Maritime S.A. ,Liberia,Alang,India,2015-01-27 00:00:00
Tressa 7,8405787,Bulk Carrier,13790,1985,St. Kitts-Nevis ,East Grand Shipping Company Limited,Hong Kong,East Grand Shipping Company Limited,K&H Shipping Limited,Hong Kong,Chittagong,Bangladesh,2015-04-06 00:00:00
Silver Hope,7367873,General Cargo,2905,1974,Cambodia ,East Marine Company Limited  ,Russia,East Marine Company Limited  ,Arnedo Finance Incorporated,British Virgin Islands,Chittagong,Bangladesh,2015-02-20 00:00:00
Zheng Yang,8918253,General Cargo With Container Capacity,17331,1991,Panama ,Eastern Rain International Ship Management Company Limited,China,Eastern Rain International Ship Management Company Limited,Zhong Qiang Shipping S.A.,Hong Kong,Chittagong,Bangladesh,2015-05-26 00:00:00
Sia,8912625,Bulk carrier,25891,1990,Palau,Eddie Steamship Company Limited ,Taiwan,Eddie Steamship Company Limited ,Sea Explorer Marine Corporation ,Panama,Alang,India,2015-03-31 00:00:00
Amira Amal,8511720,Bulk Carrier,15832,1985,Belize ,El Amira Maritime Agencies Company,Egypt,El Amira Maritime Agencies Company,El Layla Shipping Company SA,Belize,Gadani,Pakistan,2015-01-16 00:00:00
Amira Nadya,8307430,Bulk Carrier,24943,1985,Tuvalu ,El-Amira For Maritime Agencies,Egypt,El-Amira For Maritime Agencies,Youssef Maritime Company S.A.,Marshall Islands,Gadani,Pakistan,2015-05-27 00:00:00
Castillo de Plasencia,8610019,Combined Chemical And Oil Tanker,7901,1987,Bahamas ,Empresa Naviera Elcano S.A.,Spain,Empresa Naviera Elcano S.A.,Lauria Shipping S.A.,Madeira,Alang,India,2015-06-14 00:00:00
Agri,7364326,General Cargo,1597,1974,Turkey ,Emsan Insaat Malzemeleri Sanayii ve Ticaret A.S.,Turkey,Emsan Insaat Malzemeleri Sanayii ve Ticaret A.S.,Emsan Insaat Malzemeleri Sanayii ve Ticaret A.S.,Turkey,Aliaga,Turkey,2015-05-07 00:00:00
Miracle,5247524,Livestock,967,1961,Togo ,Enamar Management Limited,Syria,Enamar Management Limited,Livestock International  ,Panama,Aliaga,Turkey,2015-06-07 00:00:00
Camo,6519168,Roll On Roll Off,319,1965,Belize ,Enermar Trasporti S.r.l.,Italy,Enermar Trasporti S.r.l.,Enermar Trasporti S.r.l.,Italy,Aliaga,Turkey,2014-04-11 00:00:00
Octopus,8751083,Drill Platform,11229,1975,St. Kitts-Nevis,ENSCO Plc ,United Kingdom,Pride International Incorporated ,Global Offshore Drilling Limited ,Liberia,Alang,India,2015-12-02 00:00:00
Bergen Max,9050383,Bulk Carrier,39012,1994,Isle of Man ,Enterprises Shipping & Trading S.A.,Greece,Enterprises Shipping & Trading S.A.,Ikeston Star Shipping Incorporated,British Virgin Islands,Gadani,Pakistan,2015-05-28 00:00:00
Miden Max,9050371,Bulk Carrier,39012,1993,Isle of Man ,Enterprises Shipping & Trading S.A.,Greece,Enterprises Shipping & Trading S.A.,Spelman International Corporation,British Virgin Islands,Gadani,Pakistan,2015-07-15 00:00:00
Newcastle Max,9159567,Bulk Carrier,38364,1997,Isle of Man ,Enterprises Shipping & Trading S.A. ,Greece,Enterprises Shipping & Trading S.A. ,Wilmot Ocean Corporation ,Liberia,Chittagong,Bangladesh,2015-12-11 00:00:00
Iron King,9108300,Bulk Carrier,81155,1996,Isle of Man ,Enterprises Shipping & Trading S.A.  ,Greece,Enterprises Shipping & Trading S.A.  ,Frontier Maritime Limited,Isle of Man,Alang,India,2015-05-21 00:00:00
Iron Queen,9116747,Bulk Carrier,81155,1996,Isle of Man ,Enterprises Shipping & Trading S.A.  ,Greece,Enterprises Shipping & Trading S.A.  ,Breeze Shipping United  ,Cayman Islands,Gadani,Pakistan,2015-05-13 00:00:00
Constantia,9132686,Bulk Carrier,83658,1996,Bahamas ,Enterprises Shipping & Trading S.A.  ,Greece,Enterprises Shipping & Trading S.A.  ,Erasmus Maritime Incorporated,Marshall Islands,Gadani,Pakistan,2015-05-22 00:00:00
Glory Claire,9190913,Bulk Carrier,83850,2000,Marshall Islands ,Eregli Denizcilik A.S.,Turkey,Eregli Denizcilik A.S.,Glory Claire Limited ,British Virgin Islands,Gadani,Pakistan,2015-05-28 00:00:00
Ocean-N.,7342500,Fire Fighting Tug/Supply,1080,1975,Comoros ,ESL Integrated Services Limited,Panama,ESL Integrated Services Limited,ESL Integrated Services Limited,Panama,Gadani,Pakistan,2014-12-26 00:00:00
Trabunker,6915635,Product Tanker,1141,1969,Panama ,Essco Hellas Limited,Greece,Essco Hellas Limited,Essco Pioneer S.A.,Panama,Aliaga,Turkey,2015-07-27 00:00:00
Varg Star,9045376,Tanker (Unspecified),38792,1992,Bahamas ,Estoril Navigation Company Limited,Greece,Estoril Navigation Company Limited,Suerte Navigation Company Limited,Liberia,Gadani,Pakistan,2015-07-10 00:00:00
Andi 1,8318544,General Cargo With Container Capacity,11731,1985,St. Kitts-Nevis ,Ethiopian Shipping and Logistics Service Enterprise  ,Ethiopia,Ethiopian Shipping and Logistics Service Enterprise  ,Ethiopian Shipping and Logistics Service Enterprise  ,Ethiopia,Alang,India,2015-07-04 00:00:00
Netsa 1,8318556,General Cargo With Container Capacity,11731,1985,St. Kitts-Nevis ,Ethiopian Shipping and Logistics Service Enterprise  ,Ethiopia,Ethiopian Shipping and Logistics Service Enterprise  ,Ethiopian Shipping and Logistics Service Enterprise  ,Ethiopia,Alang,India,2015-07-11 00:00:00
Tiger Bridge,8901884,Fully Cellular Containership,24495,1990,Marshall Islands,Euroseas Limited ,Greece,Eurobulk Limited ,Tiger Navigation Corporation ,Marshall Islands,Chittagong,Bangladesh,2015-11-07 00:00:00
Marinos,9053232,Fully Cellular Containership,16236,1993,Liberia,Euroseas Limited ,Greece,Eurobulk Limited ,Xingang Shipping Limited,Liberia,Chittagong,Bangladesh,2015-11-30 00:00:00
Despina P.,8901391,Fully Cellular Containership,22712,1990,Panama,Euroseas Limited ,Greece,Eurobulk Limited ,Pilory Associates Corporation ,Hong Kong,Chittagong,Bangladesh,2015-12-30 00:00:00
Indisun I,9007207,Tanker,11433,1992,Belize,Evangrove Shipping Limited ,Hong Kong,Evangrove Shipping Limited ,Navigation Shipping Line Limited ,Hong Kong,Alang,India,2015-03-11 00:00:00
Indisun II,8910134,Tanker,11433,1991,Belize,Evangrove Shipping Limited ,Hong Kong,Evangrove Shipping Limited ,Navigation Shipping Line Limited ,Hong Kong,Alang,India,2015-03-17 00:00:00
Crown 1,9012836,Fully Cellular Containership,12404,1992,St. Kitts-Nevis ,Evergreen Marine Group,Taiwan,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Evergreen Marine Corporation (Taiwan) Limited (Evergreen Line) ,Taiwan,Chittagong,Bangladesh,2015-05-11 00:00:00
