VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
Rouen,8230223,General Cargo,2576,1972,Sierra Leone ,Vernon Shipping Limited,Ukraine,Vernon Shipping Limited,Rouen Maritime Shipping Incorporated  ,Ukraine,Aliaga,Turkey,2015-06-08 00:00:00
Veroniki Dio,7701562,Liquid Petroleum Gas Carrier,1110,1977,Greece ,Veronaus Shipping Company  ,Greece,Veronaus Shipping Company  ,Stefanaus Shipping Company  ,Greece,Aliaga,Turkey,2015-03-11 00:00:00
Sea Eagle,8022456,Bulk Carrier,37661,1982,Panama ,Vietnam National Shipping Lines (VINALINES),Vietnam,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vietnam,Chittagong,Bangladesh,2014-07-16 00:00:00
Green Star,8016627,Bulk Carrier,39997,1983,Togo ,Vietnam National Shipping Lines (VINALINES)  ,Vietnam,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vinashin Ocean Shipping Company Limited (VINASHINLINES)  ,Vietnam,Chittagong,Bangladesh,2015-03-14 00:00:00
Ba Vi,7389065,Floating Production Tanker,75366,1976,Vietnam,Vietnam Oil & Gas Corporation (PETROVIETNAM) ,Vietnam,Vietnam Oil & Gas Corporation (PETROVIETNAM) ,Vietsovpetro - Vietnam Soviet Joint Venture Corporation ,Vietnam,Chittagong,Bangladesh,2015-12-20 00:00:00
Coastal Energy,7929683,Floating Storage Tanker,23709,1981,Sierra Leone ,Viking Storage Solutions (Mauritius) Limited  ,United States of America,Viking Storage Solutions (Mauritius) Limited  ,Viking Storage Solutions (Mauritius) Limited  ,United States of America,Gadani,Pakistan,2015-04-14 00:00:00
Estre,9036014,Bulk Carrier,81589,1993,Comoros ,Vista Shipping Limited,British Virgin Islands,Vista Shipping Limited,Sea Star Shipholding Limited,Liberia,Chittagong,Bangladesh,2015-04-04 00:00:00
Cape London,9127485,Bulk Carrier,87368,1997,Liberia ,Vista Shipping Limited,British Virgin Islands,Vista Shipping Limited,Diarmaid Limited  ,Bahamas,Chittagong,Bangladesh,2015-05-09 00:00:00
Onega,8517982,Bulk Carrier,93643,1987,Dominica ,Vista Shipping Limited,British Virgin Islands,Vista Shipping Limited,Alba Navigare Company,Marshall Islands,Alang,India,2015-06-13 00:00:00
VOS Server,7827029,Standby Safety Vessel,863,1979,Bahamas ,Vroon B.V. ,Netherlands,Vroon Offshore Services B.V.  ,Vroon Offshore Services Limited  ,United Kingdom,Grenaa,Denmark,2015-09-06 00:00:00
