BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
China,Hainan Tonglian Shipping Company,Hua Jian,8128705,China ,,,Hainan Tonglian Shipping Company,Hainan Tonglian Shipping Company,"Jiangyin, China",2013-05-10 00:00:00,1985,Bulker,,,
China,Shanghai Shenyue Ship Management Company,Li Xiao,8020939,Panama ,,,Shanghai Shenyue Ship Management Company,Li Xiao Shipping Limited ,"Jiangyin, China",2013-02-09 00:00:00,1981,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Peng Fa,8029416,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,"Jiangyin, China ",2013-10-21 00:00:00,1982,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Peng He,8103444,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,"Jiangyin, China ",2013-10-18 00:00:00,1982,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Grace,9057020,Panama ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Grace Shipping Incorporated ,"Jiangyin, China ",2013-12-27 00:00:00,1994,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Tai He Hai,8318271,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,"Jiangyin, China ",2013-12-02 00:00:00,1984,Bulker,,,
China,Ever Gain Shipping SA,Xin He,8029076,Panama ,,,Ever Gain Shipping SA,Tong Xiang Shipping S.A. ,"Jiangyin, China ",2013-01-23 00:00:00,1982,Bulker,,,
China,Nanjing Hua Hai Shipping Company Limited,Hua Jin Bin,8018194,Panama ,,,Nanjing Hua Hai Shipping Company Limited,HK Huajinbin Shipping Company Limited ,"Jiangyin, China ",2013-01-30 00:00:00,1982,Bulker,,,
China,Tianjin Tianhui Shipping Enterprises Company Limited,Quan Zhou Hai,8023955,China ,,,Tianjin Tianhui Shipping Enterprises Company Limited,Tianjin Tianhui Shipping Enterprises Company Limited,"Jiangyin, China ",2013-11-04 00:00:00,1982,Bulker,,,
China,Tianjin Tianhui Shipping Enterprises Company Limited,Wen Zhou Hai,8023943,China ,,,Tianjin Tianhui Shipping Enterprises Company Limited,Tianjin Tianhui Shipping Enterprises Company Limited,"Jiangyin, China ",2013-11-03 00:00:00,1982,Bulker,,,
China,Ningbo Marine (Group) Company Limited,Ming Zhou 30,8624644,China ,,,Ningbo Marine (Group) Company Limited,Ningbo Marine Company Limited ,"Jiaojiang, China",2013-12-17 00:00:00,1988,Bulker,,,
China,China Shipping (Group) Company ,Xiang Pu,8409367,China ,,,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,"Maijshan, China",2013-07-29 00:00:00,1984,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Shou Chang Hai,8316508,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,"Taizhou, China",2013-08-26 00:00:00,1984,Bulker,,,
China,Jieheng Shipping Company Limited,Rui Ming,8402955,Panama ,,,Jieheng Shipping Company Limited,Zhongchen Shipping Limited ,"Taizhou, China",2013-03-11 00:00:00,1984,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Tai Kang Hai,8318295,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,"Xingang, China ",2013-09-17 00:00:00,1985,Bulker,,,
