VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
8914556,ASIA,Container Ship (Fully Cellular),7676,3729,1991,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Alang,India,2024-09-01 00:00:00,,
6816970,7107 ISLANDS CRUISE,Passenger/Cruise,5113,0,1968,Philippines,,7107 Islands Cruise Corp,Philippines,7107 Islands Cruise Corp,7107 Islands Cruise Corp,Philippines,Manila,Philippines,2024-01-01 00:00:00,,
8121513,PLANETA,Buoy Tender,905,0,1982,Poland,,Szczecin Marine Board,Poland,Szczecin Marine Board,Szczecin Marine Board,Poland,Unknown,Unknown,2024-04-01 00:00:00,,
8707549,EFORIE,Passenger/Ro-Ro Ship (Vehicles/Rail),20621,11710,1991,Romania,,CFR Marfa Constanta,Romania,CFR Ferry Boat SA,CFR Ferry Boat SA,Romania,Aliaga,Turkey,2024-03-01 00:00:00,,
8513663,MANGALIA A,Passenger/Ro-Ro Ship (Vehicles/Rail),20621,11700,1988,Palau,Romania,CFR Marfa Constanta,Romania,CFR Ferry Boat SA,CFR Ferry Boat SA,Romania,Aliaga,Turkey,2024-03-01 00:00:00,,
7396666,MARZUK,General Cargo Ship,2592,1850,1974,Tanzania (Zanzibar),,United Marine Co Srl,Romania,Seahorse Maritime Srl,Marzuk Shipping Co Ltd SA,Panama,Aliaga,Turkey,2024-06-01 00:00:00,,
7733840,KONSHIN,General Cargo Ship,2478,1416,1978,St Kitts & Nevis,Russia,Amur Shipping Co JSC,Russia,Amur Shipping Co JSC,Amur Shipping Co JSC,Russia,Chittagong,Bangladesh,2024-01-01 00:00:00,,
8517841,PITA ERMA,General Cargo Ship,5998,3613,1986,St Kitts & Nevis,Russia,Amur Shipping Co JSC,Russia,Amur Shipping Co JSC,Amur Shipping Co JSC,Russia,Chittagong,Bangladesh,2024-04-01 00:00:00,,
9130157,MASALA,Container Ship (Fully Cellular),16542,7550,1998,Comoros,Liberia,FESCO,Russia,FESCO Ocean Management Ltd,Maslov Ltd,Russia,Chittagong,Bangladesh,2024-06-01 00:00:00,,
7229320,PROLIV LONGA,Fishing Vessel,1329,1271,1972,Vanuatu,Russia,Kamkorn & Co,Russia,Kamkorn & Co,Kamkorn & Co,Russia,Alang,India,2024-01-01 00:00:00,,
8898386,SAFE,General Cargo Ship,1528,890,1995,Togo,,Trans Line Co Ltd,Russia,Trade Bridge Inc Ltd,Sakura Shipping Ltd,Dominica,Alang,India,2024-02-01 00:00:00,,
8610265,SARCO,Fish Factory Ship,31949,16331,1989,St Kitts & Nevis,Russia,Dalmoreprodukt,Russia,Dalmoreprodukt,Dalmoreprodukt,Russia,Alang,India,2024-03-01 00:00:00,,
9168233,FESCO TRADER,Container Ship (Fully Cellular),12471,5113,1997,Panama,,FESCO,Russia,FESCO Ocean Management HK,Trader Shipping Ltd-HKG,Hong Kong,Alang,India,2024-05-01 00:00:00,,
7812024,FROST OLYMPOS,Refrigerated Cargo Ship,3835,2111,1980,Mongolia,Russia,Vladkristall Co Ltd,Russia,Vladkristall Co Ltd,Vladkristall Co Ltd,Russia,Alang,India,2024-05-01 00:00:00,,
7832945,HIRONIN,Fish Factory Ship,4457,3905,1980,St Kitts & Nevis,Russia,Vostokrybprom Ltd,Russia,Vostokrybprom Ltd,Vostokrybprom Ltd,Russia,Alang,India,2024-05-01 00:00:00,,
8518895,BALYUZEK,Refrigerated Cargo Ship,3634,2630,1986,Mongolia,Russia,Nakhodka Active Fishery,Russia,Nakhodka Active Fishery,Nakhodka Active Fishery,Russia,Alang,India,2024-06-01 00:00:00,,
8826424,VICTOR GAVRILOV,Fish Factory Ship,8289,5962,1990,Mongolia,Russia,V I Lenin Collective Farm,Russia,V I Lenin Collective Farm,V I Lenin Collective Farm,Russia,Alang,India,2024-06-01 00:00:00,,
8721856,OSSORA,Fishing Vessel,873,936,1988,Mongolia,Russia,Magadanryba,Russia,Magadanryba,Magadanryba,Russia,Alang,India,2024-08-01 00:00:00,,
8225711,BEREG MACHTY,Refrigerated Cargo Ship,12703,7264,1982,Tanzania (Zanzibar),Belize,RIMSCO,Russia,RIMSCO,Kasira Marine Ltd,Cyprus,Alang,India,2024-08-01 00:00:00,,
8832033,IVAN MOSHLYAK,Fishing Vessel,918,914,1990,Mongolia,Russia,Dalrybprom JSC,Russia,Dalrybprom JSC,Dalrybprom JSC,Russia,Alang,India,2024-09-01 00:00:00,,
7913622,DIVO,Fish Factory Ship,49367,26136,1980,Comoros,Russia,Pacific Marine Trawlers Co Ltd,Russia,Pacific Marine Trawlers Co Ltd,Pacific Marine Trawlers Co Ltd,Russia,Alang,India,2024-10-01 00:00:00,,
